Sample,Mineral,Pipe,Diamond_High,Craton,Al,Si,Ca,Sc,V,Mn,Ba,Ce,Eu,Gd,Tb,Dy,Ho,Tm,Ta,Th,Al_clr,Si_clr,Ca_clr,Sc_clr,V_clr,Mn_clr,Ba_clr,Ce_clr,Eu_clr,Gd_clr,Tb_clr,Dy_clr,Ho_clr,Tm_clr,Ta_clr,Th_clr,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
    Ap27C18,G10,ZERO,no,Kaapvaal,61700,199200,21000,105.6,114.2,1917,0.060094417,0.65,1.29,1.87,0.16,0.36,0.05,0.01,0.01,0.01057684,9.26947212,10.44149753,8.191710627,2.899091281,2.977384207,5.797949653,-4.572405432,-2.191350006,-1.505924872,-1.134628659,-3.593148554,-2.782218338,-4.756299364,-6.365737276,-6.365737276,-6.309655647,0.19323287,-0.22271009,-0.10051457,-0.102413127,-0.031725514,-0.028752694,0.050593816,-0.021086892,-0.022467386,0.030958085,0.032932404,0.032647735,0.020981411,0.007030287,0.002224329,2.08E-17
    Ap27C19,G10,ZERO,no,Kaapvaal,59960,199800,13600,96.33,151.9,1764,27.97,1.5,0.93,2.45,0.18,0.88,0.1,0.007381789,0.01,0.06,8.634042357,9.837681549,7.150434476,2.200389201,2.655831814,5.107948641,0.963741912,-1.961925488,-2.439961289,-1.471302571,-4.082189024,-2.495223967,-4.669975689,-7.276129828,-6.972560782,-5.180801312,0.359209436,0.042679434,-0.069379732,-0.105770891,0.089381646,0.102810148,0.008373556,0.01749491,0.042909462,0.019442105,0.011428281,-0.036272601,-0.019959537,0.007790858,-0.004143535,-2.03E-16
    Ap27C20,G10,ZERO,no,Kaapvaal,64390,199000,25600,117.6,111.5,1881,0.18,0.7,2.09,4.86,0.42,1.16,0.17,0.06,0.01,0.03,8.742991949,9.871338433,7.820625959,2.437567364,2.38430292,5.209837158,-4.044520099,-2.686396615,-1.592557605,-0.748683233,-3.197222239,-2.181301666,-4.101678513,-5.143132388,-6.934891857,-5.836279568,0.390178528,-0.216072239,0.006821692,0.004280655,0.02196462,-0.057421356,0.063261455,-0.022336439,-0.040469957,0.008825492,0.023708752,0.007031269,0.007210824,0.030770976,0.001308235,2.08E-17
    Ap27C21,G10,ZERO,no,Kaapvaal,67090,203800,9049,61.07,69.36,1261,0.025582515,0.1,0.34,0.59,0.04,0.12,0.04,0.007941155,0.001794894,0.001662029,10.22322935,11.33433347,8.219848604,3.221459818,3.348749403,6.249099406,-4.556407082,-3.193146023,-1.969370591,-1.418193672,-4.109436754,-3.010824466,-4.109436754,-5.726257491,-7.213370349,-7.29027687,0.049679904,-0.380116912,-0.012769926,-0.123418524,0.059539282,0.020136909,-0.014567324,-0.011721898,-0.028262141,0.078586258,0.022907311,-0.005763931,-0.00364757,-0.013591456,-0.003009664,-1.67E-16
    Ap27C22,G10,ZERO,no,Kaapvaal,68180,199000,17380,123.8,174.8,2427,87.63,5.16,1.24,2.7,0.28,1.14,0.17,0.03,0.08,0.35,8.11758259,9.188736148,6.750751443,1.806343404,2.151318507,4.78208725,1.460799449,-1.371387376,-2.797212576,-2.019072183,-4.285289632,-2.881295693,-4.784280798,-6.518881853,-5.5380526,-4.06214608,0.426072791,0.22361464,0.017323298,-0.030019554,0.073414167,0.007289996,-0.016437021,0.009750088,0.029018064,0.008966512,0.018113998,-0.010288138,0.010900058,0.039147861,0.005674457,-1.06E-16
    Ap27D03,G10,ZERO,no,Kaapvaal,60970,199800,13000,93.71,141.2,1731,10.94,1.52,0.79,2.16,0.16,0.83,0.11,0.02,0.01,0.05,8.690064632,9.876999558,7.14463205,2.21213232,2.622104738,5.128381968,0.06435321,-1.909362252,-2.56379492,-1.557964365,-4.16065405,-2.514402165,-4.5353475,-6.240095592,-6.933242773,-5.32380486,0.341841633,0.003132723,-0.007511414,-0.043668234,0.106395232,0.045710158,-0.00053283,0.017044791,0.037362536,0.005773606,0.002351816,-0.029218416,-0.012325024,0.008546769,-0.00575046,-1.94E-16
    Ap27D04,G10,ZERO,no,Kaapvaal,63500,199700,13670,92.56,148.6,1699,20.2,1.52,0.7,1.86,0.14,0.44,0.07,0.03,0.007521327,0.03,8.803042156,9.94881849,7.267205901,2.272104054,2.745505103,5.182042093,0.749929575,-1.837042694,-2.612427973,-1.635176541,-4.221865885,-3.076733581,-4.915013066,-5.762310926,-7.145765778,-5.762310926,0.287345762,-0.006462938,0.016960592,-0.054501934,0.148882277,0.019185924,0.032379577,0.002950357,0.051727623,-0.031968101,0.0165324,-0.035533058,0.0023943,-0.005094021,-0.003558463,-7.29E-17
    Ap27D05,G10,ZERO,no,Kaapvaal,73480,204300,9502,60.98,66.09,1210,0.031025973,0.14,0.27,0.39,0.02,0.08,0.02,0.00768343,0.001845841,0.002303524,10.41009823,11.43267447,8.364587269,3.315875629,3.396347137,6.303705326,-4.267600897,-2.760783169,-2.104003633,-1.736278853,-4.706693318,-3.320398957,-4.706693318,-5.663359471,-7.089490783,-6.867985653,-0.03768013,-0.328758391,-0.025755337,-0.126028333,0.079331155,-0.00569671,0.013536353,-0.012380894,-0.036118572,0.07590327,-0.005646293,0.002583505,-0.01385205,-0.01637488,0.003507176,-4.16E-17
    Ap27D06,G10,ZERO,no,Kaapvaal,56610,199000,67520,442.5,205,1840,0.065013484,2.12,1.91,5.22,0.71,3.86,0.87,0.47,0.05,0.07,7.945509207,9.202628384,8.12174741,3.094008745,2.32457826,4.519089131,-5.731592306,-2.247015631,-2.351328477,-1.345934318,-3.340922029,-1.647764536,-3.137693787,-3.753454304,-5.994163993,-5.657691756,0.420449836,-0.202158048,0.125432152,0.201190384,-0.111779669,-0.102198873,0.042890449,-0.150270092,-0.043573087,-0.027995905,-0.006200831,0.014275674,-0.022870799,-0.029612549,0.005233413,4.06E-16
    Ap27D07,G10,ZERO,no,Kaapvaal,64250,199500,13780,97.81,144,1673,0.38,1.22,0.71,1.91,0.18,0.72,0.07,0.01,0.01,0.03,9.07699245,10.21002496,7.537428992,2.589482268,2.976268747,5.428829148,-2.961128579,-1.794693694,-2.336034862,-1.346441311,-3.708342981,-2.32204862,-4.65280459,-6.598714739,-6.598714739,-5.50010245,0.259673162,-0.103108826,-0.084883788,-0.055541472,0.012381442,0.034448695,-0.009651733,0.037126163,-0.005684924,0.008142383,0.008351982,-0.004001626,0.003076972,-0.003586082,0.007601353,-1.73E-17
