Sample,Mineral,Pipe,Diamond_High,Craton,Mg,Si,Cr,Mn,Co,Ni,Mg_clr,Si_clr,Cr_clr,Mn_clr,Co_clr,Ni_clr,V1,V2,V3,V4,V5,V6
    Ap24I14,OL,KOALA,yes,Slave,204000,193400,135.5,527.9,96,2117,4.259479755,4.206120344,-3.057423878,-1.697488646,-3.402047327,-0.308640247,0.032034824,0.04388081,0.03280947,0.005727001,-0.010277357,4.09E-16
    Ap24I15,OL,KOALA,yes,Slave,193900,192700,327.1,539.7,100.4,2131,4.058635191,4.052427205,-2.326196715,-1.82544922,-3.507300443,-0.452116018,0.245486124,0.037761964,0.029339965,0.009383297,-0.028584583,3.47E-18
    Ap24I16,OL,KOALA,yes,Slave,173500,192100,186.9,520.6,103.9,2371,4.042306892,4.144145362,-2.791052272,-1.766643994,-3.378197088,-0.2505589,0.093529575,-0.055642927,0.041888536,0.009557188,-0.008417828,-6.59E-16
    Ap24I17,OL,KOALA,yes,Slave,139200,192600,160.3,557.1,103.1,2203,3.886149634,4.210853385,-2.880470334,-1.634772636,-3.321818002,-0.259942046,0.046665393,-0.091225373,-0.05558206,0.038987016,0.012997667,4.61E-17
    Ap24I18,OL,KOALA,yes,Slave,184600,194000,109.2,539.7,101.6,2288,4.185574698,4.235241535,-3.24719084,-1.649358474,-3.319328368,-0.204938551,-0.037169641,-0.027474389,0.01776606,0.004417437,-0.004857241,-3.45E-16
    Ap24I19,OL,KOALA,yes,Slave,145400,192900,95.09,512.5,109.4,2320,4.004639024,4.287322379,-3.327781008,-1.643304109,-3.18759393,-0.133282355,-0.087684973,-0.131896654,-0.00541085,0.056039267,-0.012334653,-9.54E-17
    Ap24I20,OL,KOALA,yes,Slave,173400,194100,182.3,562.7,111,2300,4.025343006,4.138115432,-2.832359656,-1.705266711,-3.328483136,-0.297348935,0.077546765,-0.05429608,-0.006385468,0.017528986,-0.038911044,-2.22E-16
    Ap24I21,OL,KOALA,yes,Slave,140300,193300,257.5,572.6,103.6,2321,3.799032469,4.119492869,-2.501486077,-1.702318404,-3.411968467,-0.30275239,0.161443666,-0.091772728,-0.04401563,0.017288662,0.021687856,4.16E-17
    Ap24I22,OL,KOALA,yes,Slave,205700,192700,76.24,685.1,101,2724,4.268925378,4.203641157,-3.631362438,-1.435683885,-3.350128181,-0.05539203,-0.139660792,-0.032314609,-0.035395856,-0.121693495,0.037085526,-4.41E-16
    Ap24H03,OL,PANDA,yes,Slave,170400,193200,1200,712.6,90.54,1449,3.769103415,3.894680723,-1.186723642,-1.707880225,-3.771008736,-0.998171536,0.582945001,0.210837162,-0.204269894,0.036764198,-0.03442345,4.16E-16
    Ap24H04,OL,PANDA,yes,Slave,188100,192300,74.68,575.6,97.42,2183,4.270120161,4.292203077,-3.561396536,-1.519195879,-3.295577326,-0.186153498,-0.126975375,0.000768293,-0.028234265,-0.012730243,0.005970972,2.13E-16
    Ap24H05,OL,PANDA,yes,Slave,168100,192400,111.4,509.9,100.3,2158,4.126965831,4.261983328,-3.192221161,-1.671133861,-3.297182794,-0.228411343,-0.028873016,-0.040269389,0.011674423,0.039982391,-0.006006533,2.99E-17
    Ap24H06,OL,PANDA,yes,Slave,220800,192200,148,521.9,95.32,2055,4.319802023,4.181081205,-2.987998296,-1.727734571,-3.427970918,-0.357179443,0.060834377,0.078407216,0.047261718,0.003133161,-0.026601871,3.42E-16
